0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
-0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1
0 -0 1

0.0314108 0 0.999507
0.0313488 0.0019723 0.999507
0.0311631 0.00393681 0.999507
0.0308544 0.00588579 0.999507
0.0304239 0.00781154 0.999507
0.0298734 0.00970646 0.999507
0.029205 0.0115631 0.999507
0.0284213 0.0133741 0.999507
0.0275255 0.0151322 0.999507
0.026521 0.0168307 0.999507
0.0254118 0.0184628 0.999507
0.0242024 0.020022 0.999507
0.0228975 0.0215021 0.999507
0.0215021 0.0228975 0.999507
0.020022 0.0242024 0.999507
0.0184628 0.0254118 0.999507
0.0168307 0.026521 0.999507
0.0151322 0.0275255 0.999507
0.0133741 0.0284213 0.999507
0.0115631 0.029205 0.999507
0.00970646 0.0298734 0.999507
0.00781154 0.0304239 0.999507
0.00588579 0.0308544 0.999507
0.00393681 0.0311631 0.999507
0.0019723 0.0313488 0.999507
1.92335e-18 0.0314108 0.999507
-0.0019723 0.0313488 0.999507
-0.00393681 0.0311631 0.999507
-0.00588579 0.0308544 0.999507
-0.00781154 0.0304239 0.999507
-0.00970646 0.0298734 0.999507
-0.0115631 0.029205 0.999507
-0.0133741 0.0284213 0.999507
-0.0151322 0.0275255 0.999507
-0.0168307 0.026521 0.999507
-0.0184628 0.0254118 0.999507
-0.020022 0.0242024 0.999507
-0.0215021 0.0228975 0.999507
-0.0228975 0.0215021 0.999507
-0.0242024 0.020022 0.999507
-0.0254118 0.0184628 0.999507
-0.026521 0.0168307 0.999507
-0.0275255 0.0151322 0.999507
-0.0284213 0.0133741 0.999507
-0.029205 0.0115631 0.999507
-0.0298734 0.00970646 0.999507
-0.0304239 0.00781154 0.999507
-0.0308544 0.00588579 0.999507
-0.0311631 0.00393681 0.999507
-0.0313488 0.0019723 0.999507
-0.0314108 3.84671e-18 0.999507
-0.0313488 -0.0019723 0.999507
-0.0311631 -0.00393681 0.999507
-0.0308544 -0.00588579 0.999507
-0.0304239 -0.00781154 0.999507
-0.0298734 -0.00970646 0.999507
-0.029205 -0.0115631 0.999507
-0.0284213 -0.0133741 0.999507
-0.0275255 -0.0151322 0.999507
-0.026521 -0.0168307 0.999507
-0.0254118 -0.0184628 0.999507
-0.0242024 -0.020022 0.999507
-0.0228975 -0.0215021 0.999507
-0.0215021 -0.0228975 0.999507
-0.020022 -0.0242024 0.999507
-0.0184628 -0.0254118 0.999507
-0.0168307 -0.026521 0.999507
-0.0151322 -0.0275255 0.999507
-0.0133741 -0.0284213 0.999507
-0.0115631 -0.029205 0.999507
-0.00970646 -0.0298734 0.999507
-0.00781154 -0.0304239 0.999507
-0.00588579 -0.0308544 0.999507
-0.00393681 -0.0311631 0.999507
-0.0019723 -0.0313488 0.999507
-5.77006e-18 -0.0314108 0.999507
0.0019723 -0.0313488 0.999507
0.00393681 -0.0311631 0.999507
0.00588579 -0.0308544 0.999507
0.00781154 -0.0304239 0.999507
